S. No.,Vehicle Make & Model,High/Low Speed,Chassis Number,Vehicle ID,Driver ID,Battery ID,Battery Deployment Date,Zone ID,Retrofitment Location,USC ID
38,IntuitEV & BANA EV,Low Speed,AS2602788,INT017,D231659,B677498,16/12/2025,NMV02,Noida,USC-1895
39,IntuitEV & BANA EV,Low Speed,INDIA232475249,INT018,D231660,B563817,16/12/2025,NMV02,Noida,USC-1895
40,IntuitEV & BANA EV,Low Speed,INDIA232475253,INT019,D231661,B59616,16/12/2025,NMV02,Noida,USC-1895
41,IntuitEV & BANA EV,Low Speed,INDIA232475318,INT020,D231662,B843265,16/12/2025,NMV02,Noida,USC-1895
42,IntuitEV & BANA EV,Low Speed,INDIA232475330,INT021,D231663,B661078,16/12/2025,NMV02,Noida,USC-1895
43,IntuitEV & BANA EV,Low Speed,INDIA232475337,INT022,D231664,B571528,16/12/2025,NMV02,Noida,USC-1895
44,IntuitEV & BANA EV,Low Speed,INDIA232475338,INT023,D231665,B557459,16/12/2025,NMV02,Noida,USC-1895
45,IntuitEV & BANA EV,Low Speed,INDIA232475358,INT024,D231666,B886807,16/12/2025,NMV02,Noida,USC-1895
46,IntuitEV & BANA EV,Low Speed,AS2602520,INT001,D231747,B637301,22/12/2025,NMV02,Noida,USC-1895
47,IntuitEV & BANA EV,Low Speed,AS2602528,INT002,D231748,B801831,22/12/2025,NMV02,Noida,USC-1895
48,IntuitEV & BANA EV,Low Speed,AS2602542,INT003,D231749,B799408,22/12/2025,NMV02,Noida,USC-1895
49,IntuitEV & BANA EV,Low Speed,AS2602546,INT004,D231750,B706473,22/12/2025,NMV02,Noida,USC-1895
50,IntuitEV & BANA EV,Low Speed,AS2602548,INT005,D231751,B879191,22/12/2025,NMV02,Noida,USC-1895
51,IntuitEV & BANA EV,Low Speed,AS2602549,INT006,D231752,B879147,22/12/2025,NMV02,Noida,USC-1895
52,IntuitEV & BANA EV,Low Speed,AS2602551,INT007,D231753,B809669,22/12/2025,NMV02,Noida,USC-1895
53,IntuitEV & BANA EV,Low Speed,AS2602600,INT008,D231754,B818249,22/12/2025,NMV02,Noida,USC-1895
54,IntuitEV & BANA EV,Low Speed,AS2602604,INT009,D231755,B652347,22/12/2025,NMV02,Noida,USC-1895
55,IntuitEV & BANA EV,Low Speed,AS2602607,INT010,D231756,B566428,22/12/2025,NMV02,Noida,USC-1895
56,IntuitEV & BANA EV,Low Speed,AS2602608,INT011,D231757,B731644,22/12/2025,NMV02,Noida,USC-1895
57,IntuitEV & BANA EV,Low Speed,HNO324842407072,INT051,D241987,B705032,29/12/2025,NMV02,Noida,USC-438
58,IntuitEV & BANA EV,Low Speed,HNO324842407001,INT052,D241988,B706413,29/12/2025,NMV02,Noida,USC-438
59,IntuitEV & BANA EV,Low Speed,HN324852407020,INT053,D241989,B762074,29/12/2025,NMV02,Noida,USC-438
60,IntuitEV & BANA EV,Low Speed,HNO324852407121,INT054,D241990,B654750,29/12/2025,NMV02,Noida,USC-438
61,IntuitEV & BANA EV,Low Speed,HN0324852407118,INT055,D241991,B902488,29/12/2025,NMV02,Noida,USC-438
62,IntuitEV & BANA EV,Low Speed,HN0324852407002,INT056,D241992,B706439,29/12/2025,NMV02,Noida,USC-438
63,IntuitEV & BANA EV,Low Speed,HN0324842407167,INT057,D241993,B799188,29/12/2025,NMV02,Noida,USC-438
64,IntuitEV & BANA EV,Low Speed,HN0324842407133,INT058,D241994,B754001,29/12/2025,NMV02,Noida,USC-438
65,IntuitEV & BANA EV,Low Speed,HN0324842407151,INT059,D241995,B888548,29/12/2025,NMV02,Noida,USC-438
66,IntuitEV & BANA EV,Low Speed,HN0324852407076,INT060,D241996,B478791,29/12/2025,NMV02,Noida,USC-438
67,IntuitEV & BANA EV,Low Speed,HN0324842407162,INT061,D241997,B607583,29/12/2025,NMV02,Noida,USC-438
68,IntuitEV & BANA EV,Low Speed,HN0324842407095,INT062,D241998,B677334,29/12/2025,NMV02,Noida,USC-438
69,IntuitEV & BANA EV,Low Speed,HN0324852407146,INT063,D241999,B818244,29/12/2025,NMV02,Noida,USC-438
70,IntuitEV & BANA EV,Low Speed,HN0324852407011,INT064,D242000,B817161,29/12/2025,NMV02,Noida,USC-438
71,IntuitEV & BANA EV,Low Speed,HN0324842407045,INT065,D242001,B683944,29/12/2025,NMV02,Noida,USC-438
72,IntuitEV & BANA EV,Low Speed,HNO324842407072,INT066,D242002,B733091,29/12/2025,NMV02,Noida,USC-438
73,Evolet Polo,Low Speed,LCS5BAB55N9000835,EVP007,D252702,B743638,04/02/2026,NMV02,Noida,USC-1014
74,Evolet Polo,Low Speed,LCS5BAB55N9001175,EVP001,D252703,B854720,04/02/2026,NMV02,Noida,USC-1014
75,Evolet Polo,Low Speed,LCS5BAB55N9000909,EVP002,D252704,B851649,04/02/2026,NMV02,Noida,USC-1014
76,Evolet Polo,Low Speed,LCS5BAB55N9000882,EVP014,D252705,B753036,04/02/2026,NMV02,Noida,USC-1014
77,Evolet Polo,Low Speed,LCS5BAB55N9000929,EVP013,D252706,B769718,04/02/2026,NMV02,Noida,USC-1014
78,Evolet Polo,Low Speed,LCS5BAB55N9001033,EVP011,D252707,B738016,04/02/2026,NMV02,Noida,USC-1014
79,Evolet Polo,Low Speed,LCS5BAB55N9001047,EVP033,D252708,B514898,04/02/2026,NMV02,Noida,USC-1014
80,Evolet Polo,Low Speed,LCS5BAB55N9000977,EVP026,D252709,B918833,04/02/2026,NMV02,Noida,USC-1014
81,Evolet Polo,Low Speed,LCS5BAB55N9000942,EVP012,D252710,B659079,04/02/2026,NMV02,Noida,USC-1014
82,Evolet Polo,Low Speed,LCS5BAB55N9000985,EVP032,D252711,B472294,04/02/2026,NMV02,Noida,USC-1014
83,Evolet Polo,Low Speed,LCS5BAB55N9001166,EVP027,D252712,B548842,04/02/2026,NMV02,Noida,USC-1014
